Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
1,11.713,479719,23530,1100,0,1000,0.100,0.050,1.000,1.022,0
2,9.081,373935,18243,853,0,1000,0.100,0.050,1.000,1.015,0
3,10.287,422731,20665,958,0,1000,0.100,0.050,1.000,1.018,0
4,11.255,461621,22610,1062,0,1000,0.100,0.050,1.000,1.017,0
5,10.082,414332,20254,939,0,1000,0.100,0.050,1.000,1.019,0
6,8.021,331190,16113,719,0,1000,0.100,0.050,1.000,1.017,0
7,7.797,322634,15664,729,0,1000,0.100,0.050,1.000,1.014,0
8,10.312,423852,20715,958,0,1000,0.100,0.050,1.000,1.018,0
9,13.778,562957,27679,1354,0,1000,0.100,0.050,1.000,1.017,0
10,7.675,317564,15418,707,0,1000,0.100,0.050,1.000,1.020,0
1,8.602,366383,17853,814,0,1000,0.100,0.050,1.000,1.016,0
2,11.498,486521,23864,1073,0,1000,0.100,0.050,1.000,1.018,0
3,12.367,522739,25668,1203,0,1000,0.100,0.050,1.000,1.020,0
4,11.486,486282,23839,1084,0,1000,0.100,0.050,1.000,1.023,0
5,11.267,477382,23386,1109,0,1000,0.100,0.050,1.000,1.019,0
6,8.677,369400,18009,777,0,1000,0.100,0.050,1.000,1.016,0
7,8.726,371212,18111,822,0,1000,0.100,0.050,1.000,1.014,0
8,8.711,370850,18080,836,0,1000,0.100,0.050,1.000,1.018,0
9,7.938,338944,16476,768,0,1000,0.100,0.050,1.000,1.018,0
10,10.729,454576,22268,1042,0,1000,0.100,0.050,1.000,1.018,0
1,10.358,464688,22767,1053,0,1000,0.100,0.050,1.000,1.023,0
2,9.861,442463,21675,1013,0,1000,0.100,0.050,1.000,1.020,0
3,9.264,416876,20362,916,0,1000,0.100,0.050,1.000,1.019,0
4,7.815,352651,17177,790,0,1000,0.100,0.050,1.000,1.016,0
5,11.445,512551,25158,1251,0,1000,0.100,0.050,1.000,1.021,0
6,9.955,446852,21882,1016,0,1000,0.100,0.050,1.000,1.021,0
7,10.972,491829,24117,1154,0,1000,0.100,0.050,1.000,1.024,0
8,9.636,432813,21180,1009,0,1000,0.100,0.050,1.000,1.016,0
9,9.178,412825,20174,915,0,1000,0.100,0.050,1.000,1.020,0
10,11.517,515616,25316,1181,0,1000,0.100,0.050,1.000,1.019,0
1,11.183,509386,25001,1136,0,1000,0.100,0.050,1.000,1.022,0
2,11.083,504876,24777,1170,0,1000,0.100,0.050,1.000,1.025,0
3,10.814,492981,24175,1172,0,1000,0.100,0.050,1.000,1.017,0
4,10.785,491627,24110,1134,0,1000,0.100,0.050,1.000,1.019,0
5,9.827,448864,21969,1022,0,1000,0.100,0.050,1.000,1.016,0
6,10.032,457630,22428,1039,0,1000,0.100,0.050,1.000,1.020,0
7,8.839,404543,19761,937,0,1000,0.100,0.050,1.000,1.016,0
8,7.672,352298,17152,846,0,1000,0.100,0.050,1.000,1.018,0
9,10.588,482977,23670,1149,0,1000,0.100,0.050,1.000,1.018,0
10,9.176,419795,20514,932,0,1000,0.100,0.050,1.000,1.021,0
1,10.775,466856,22865,1090,0,1000,0.100,0.050,1.000,1.016,0
2,12.348,533472,26202,1214,0,1000,0.100,0.050,1.000,1.017,0
3,7.166,313522,15207,665,0,1000,0.100,0.050,1.000,1.015,0
4,10.797,467719,22911,1078,0,1000,0.100,0.050,1.000,1.020,0
5,10.996,475695,23333,1135,0,1000,0.100,0.050,1.000,1.025,0
6,8.747,380778,18560,843,0,1000,0.100,0.050,1.000,1.013,0
7,11.583,501404,24578,1206,0,1000,0.100,0.050,1.000,1.019,0
8,9.168,398226,19455,894,0,1000,0.100,0.050,1.000,1.015,0
9,9.798,425567,20792,945,0,1000,0.100,0.050,1.000,1.018,0
10,8.622,375280,18295,811,0,1000,0.100,0.050,1.000,1.014,0
1,10.692,485506,23809,1114,0,1000,0.100,0.050,1.000,1.024,0
2,12.858,581994,28632,1382,0,1000,0.100,0.050,1.000,1.019,0
3,9.880,449835,21999,1031,0,1000,0.100,0.050,1.000,1.018,0
4,10.209,464223,22732,1037,0,1000,0.100,0.050,1.000,1.017,0
5,9.764,443984,21742,970,0,1000,0.100,0.050,1.000,1.018,0
6,10.919,495847,24314,1172,0,1000,0.100,0.050,1.000,1.022,0
7,8.316,379732,18517,857,0,1000,0.100,0.050,1.000,1.015,0
8,9.535,434044,21232,1057,0,1000,0.100,0.050,1.000,1.018,0
9,7.912,361834,17618,877,0,1000,0.100,0.050,1.000,1.019,0
10,9.915,450986,22078,1020,0,1000,0.100,0.050,1.000,1.015,0
1,11.833,508348,24962,1198,0,1000,0.100,0.050,1.000,1.017,0
2,10.004,431632,21103,988,0,1000,0.100,0.050,1.000,1.019,0
3,10.634,458077,22431,1064,0,1000,0.100,0.050,1.000,1.018,0
4,9.438,407545,19909,952,0,1000,0.100,0.050,1.000,1.019,0
5,8.527,368996,17987,860,0,1000,0.100,0.050,1.000,1.016,0
6,10.645,458480,22456,1041,0,1000,0.100,0.050,1.000,1.020,0
7,8.225,356314,17351,807,0,1000,0.100,0.050,1.000,1.016,0
8,10.163,437976,21439,987,0,1000,0.100,0.050,1.000,1.017,0
9,11.030,474855,23268,1139,0,1000,0.100,0.050,1.000,1.015,0
10,9.499,410242,20038,915,0,1000,0.100,0.050,1.000,1.017,0
1,11.210,451042,22074,1102,0,1000,0.100,0.050,1.000,1.022,0
2,9.620,388469,18944,891,0,1000,0.100,0.050,1.000,1.014,0
3,12.958,519891,25516,1160,0,1000,0.100,0.050,1.000,1.021,0
4,9.326,376276,18365,818,0,1000,0.100,0.050,1.000,1.014,0
5,8.703,352261,17138,744,0,1000,0.100,0.050,1.000,1.014,0
6,9.757,393546,19213,920,0,1000,0.100,0.050,1.000,1.019,0
7,9.373,378525,18458,809,0,1000,0.100,0.050,1.000,1.016,0
8,9.813,395887,19323,883,0,1000,0.100,0.050,1.000,1.018,0
9,11.076,445675,21810,1029,0,1000,0.100,0.050,1.000,1.018,0
10,8.164,330857,16077,743,0,1000,0.100,0.050,1.000,1.016,0
1,10.628,447293,21888,1030,0,1000,0.100,0.050,1.000,1.015,0
2,8.997,379708,18529,881,0,1000,0.100,0.050,1.000,1.017,0
3,10.428,438722,21475,1084,0,1000,0.100,0.050,1.000,1.023,0
4,8.943,377463,18417,874,0,1000,0.100,0.050,1.000,1.024,0
5,11.715,492017,24126,1133,0,1000,0.100,0.050,1.000,1.025,0
6,9.513,400726,19592,852,0,1000,0.100,0.050,1.000,1.018,0
7,10.071,424289,20740,968,0,1000,0.100,0.050,1.000,1.018,0
8,9.409,396996,19377,900,0,1000,0.100,0.050,1.000,1.016,0
9,10.900,458455,22448,994,0,1000,0.100,0.050,1.000,1.017,0
10,9.395,396205,19349,881,0,1000,0.100,0.050,1.000,1.017,0
1,9.811,431174,21078,994,0,1000,0.100,0.050,1.000,1.021,0
2,8.627,380171,18535,819,0,1000,0.100,0.050,1.000,1.015,0
3,8.640,380991,18563,875,0,1000,0.100,0.050,1.000,1.024,0
4,12.006,525510,25794,1190,0,1000,0.100,0.050,1.000,1.023,0
5,9.254,406883,19882,915,0,1000,0.100,0.050,1.000,1.016,0
6,11.102,486432,23851,1114,0,1000,0.100,0.050,1.000,1.025,0
7,11.522,504485,24753,1158,0,1000,0.100,0.050,1.000,1.020,0
8,9.370,412065,20131,933,0,1000,0.100,0.050,1.000,1.015,0
9,10.979,481452,23587,1134,0,1000,0.100,0.050,1.000,1.018,0
10,8.689,383054,18667,865,0,1000,0.100,0.050,1.000,1.013,0
1,10.853,515824,25320,1184,0,1000,0.100,0.050,1.000,1.025,0
2,11.494,545659,26817,1290,0,1000,0.100,0.050,1.000,1.019,0
3,10.374,493387,24204,1151,0,1000,0.100,0.050,1.000,1.021,0
4,10.607,504348,24747,1226,0,1000,0.100,0.050,1.000,1.023,0
5,8.932,426051,20840,928,0,1000,0.100,0.050,1.000,1.018,0
6,8.330,398097,19435,918,0,1000,0.100,0.050,1.000,1.012,0
7,10.984,521989,25627,1171,0,1000,0.100,0.050,1.000,1.024,0
8,9.141,435788,21327,990,0,1000,0.100,0.050,1.000,1.018,0
9,10.030,477194,23400,1095,0,1000,0.100,0.050,1.000,1.017,0
10,9.254,441250,21589,950,0,1000,0.100,0.050,1.000,1.016,0
1,9.586,453909,22225,998,0,1000,0.100,0.050,1.000,1.016,0
2,9.093,431146,21082,1071,0,1000,0.100,0.050,1.000,1.017,0
3,7.031,335164,16301,751,0,1000,0.100,0.050,1.000,1.020,0
4,7.750,368889,17967,786,0,1000,0.100,0.050,1.000,1.016,0
5,12.092,570183,28034,1246,0,1000,0.100,0.050,1.000,1.020,0
6,9.881,467417,22909,1065,0,1000,0.100,0.050,1.000,1.020,0
7,11.911,561661,27615,1282,0,1000,0.100,0.050,1.000,1.021,0
8,9.563,452598,22170,1065,0,1000,0.100,0.050,1.000,1.020,0
9,11.395,537612,26418,1203,0,1000,0.100,0.050,1.000,1.023,0
10,11.697,551846,27119,1295,0,1000,0.100,0.050,1.000,1.020,0
1,9.875,429158,20976,1004,0,1000,0.100,0.050,1.000,1.019,0
2,8.625,375643,18322,844,0,1000,0.100,0.050,1.000,1.024,0
3,10.698,464007,22726,1077,0,1000,0.100,0.050,1.000,1.014,0
4,8.963,390174,19039,865,0,1000,0.100,0.050,1.000,1.018,0
5,9.683,420663,20568,938,0,1000,0.100,0.050,1.000,1.019,0
6,10.935,473922,23228,1132,0,1000,0.100,0.050,1.000,1.022,0
7,9.594,417051,20381,971,0,1000,0.100,0.050,1.000,1.017,0
8,12.575,543404,26712,1279,0,1000,0.100,0.050,1.000,1.017,0
9,9.970,432909,21178,1032,0,1000,0.100,0.050,1.000,1.027,0
10,9.083,395160,19294,918,0,1000,0.100,0.050,1.000,1.022,0
1,11.461,506012,24839,1172,0,1000,0.100,0.050,1.000,1.026,0
2,6.652,297548,14417,678,0,1000,0.100,0.050,1.000,1.016,0
3,10.011,443426,21695,1054,0,1000,0.100,0.050,1.000,1.019,0
4,13.349,588164,28930,1455,0,1000,0.100,0.050,1.000,1.024,0
5,10.509,465086,22775,1049,0,1000,0.100,0.050,1.000,1.018,0
6,9.691,429560,21003,1009,0,1000,0.100,0.050,1.000,1.019,0
7,9.232,409584,20008,992,0,1000,0.100,0.050,1.000,1.017,0
8,8.979,398529,19460,838,0,1000,0.100,0.050,1.000,1.014,0
9,9.417,417632,20408,986,0,1000,0.100,0.050,1.000,1.019,0
10,10.698,473119,23185,1070,0,1000,0.100,0.050,1.000,1.021,0
1,9.520,425891,20831,997,0,1000,0.100,0.050,1.000,1.016,0
2,10.291,459434,22519,1042,0,1000,0.100,0.050,1.000,1.018,0
3,8.286,372027,18132,842,0,1000,0.100,0.050,1.000,1.018,0
4,9.742,435849,21318,1029,0,1000,0.100,0.050,1.000,1.021,0
5,10.057,449745,22007,983,0,1000,0.100,0.050,1.000,1.018,0
6,9.839,439702,21529,995,0,1000,0.100,0.050,1.000,1.017,0
7,10.969,489423,24001,1132,0,1000,0.100,0.050,1.000,1.019,0
8,9.345,418555,20448,948,0,1000,0.100,0.050,1.000,1.013,0
9,10.697,477768,23407,1114,0,1000,0.100,0.050,1.000,1.022,0
10,11.254,502078,24625,1197,0,1000,0.100,0.050,1.000,1.017,0
1,9.503,397820,19423,853,0,1000,0.100,0.050,1.000,1.016,0
2,11.195,467308,22880,1031,0,1000,0.100,0.050,1.000,1.017,0
3,9.596,401460,19613,910,0,1000,0.100,0.050,1.000,1.014,0
4,11.627,484373,23763,1091,0,1000,0.100,0.050,1.000,1.021,0
5,9.970,416949,20377,993,0,1000,0.100,0.050,1.000,1.019,0
6,10.449,436827,21355,1021,0,1000,0.100,0.050,1.000,1.019,0
7,9.326,390724,19060,877,0,1000,0.100,0.050,1.000,1.022,0
8,7.309,308268,14938,647,0,1000,0.100,0.050,1.000,1.015,0
9,7.685,323565,15707,681,0,1000,0.100,0.050,1.000,1.019,0
10,13.340,554424,27265,1261,0,1000,0.100,0.050,1.000,1.023,0
1,9.779,370854,18069,819,0,1000,0.100,0.050,1.000,1.017,0
2,10.015,379510,18505,840,0,1000,0.100,0.050,1.000,1.014,0
3,8.861,336693,16372,775,0,1000,0.100,0.050,1.000,1.020,0
4,9.264,351892,17118,774,0,1000,0.100,0.050,1.000,1.013,0
5,8.391,319201,15505,689,0,1000,0.100,0.050,1.000,1.014,0
6,9.994,379014,18466,810,0,1000,0.100,0.050,1.000,1.016,0
7,11.665,440400,21553,1068,0,1000,0.100,0.050,1.000,1.020,0
8,10.993,415424,20312,929,0,1000,0.100,0.050,1.000,1.023,0
9,8.881,337596,16409,753,0,1000,0.100,0.050,1.000,1.018,0
10,12.158,458372,22464,1011,0,1000,0.100,0.050,1.000,1.023,0
1,8.020,351200,17092,749,0,1000,0.100,0.050,1.000,1.014,0
2,9.933,432954,21170,957,0,1000,0.100,0.050,1.000,1.016,0
3,10.174,442812,21683,1044,0,1000,0.100,0.050,1.000,1.015,0
4,10.992,478040,23426,1064,0,1000,0.100,0.050,1.000,1.019,0
5,8.467,370093,18046,827,0,1000,0.100,0.050,1.000,1.021,0
6,9.048,395634,19284,969,0,1000,0.100,0.050,1.000,1.021,0
7,12.873,558245,27435,1312,0,1000,0.100,0.050,1.000,1.020,0
8,9.414,410744,20063,937,0,1000,0.100,0.050,1.000,1.025,0
9,10.371,451373,22104,975,0,1000,0.100,0.050,1.000,1.016,0
10,10.709,465854,22823,1066,0,1000,0.100,0.050,1.000,1.020,0
1,7.658,348251,16949,732,0,1000,0.100,0.050,1.000,1.011,0
2,12.429,559769,27509,1344,0,1000,0.100,0.050,1.000,1.016,0
3,8.690,394204,19235,847,0,1000,0.100,0.050,1.000,1.013,0
4,11.235,506441,24868,1101,0,1000,0.100,0.050,1.000,1.013,0
5,10.756,485406,23807,1076,0,1000,0.100,0.050,1.000,1.028,0
6,12.232,551140,27075,1232,0,1000,0.100,0.050,1.000,1.022,0
7,9.423,426459,20857,958,0,1000,0.100,0.050,1.000,1.022,0
8,7.834,355970,17339,793,0,1000,0.100,0.050,1.000,1.015,0
9,10.953,494021,24244,1183,0,1000,0.100,0.050,1.000,1.019,0
10,8.790,398313,19455,923,0,1000,0.100,0.050,1.000,1.020,0
1,9.236,394676,19264,851,0,1000,0.100,0.050,1.000,1.017,0
2,8.572,366904,17879,767,0,1000,0.100,0.050,1.000,1.017,0
3,9.972,425271,20800,967,0,1000,0.100,0.050,1.000,1.021,0
4,8.614,368507,17968,824,0,1000,0.100,0.050,1.000,1.021,0
5,9.236,394578,19265,933,0,1000,0.100,0.050,1.000,1.018,0
6,9.292,397147,19381,932,0,1000,0.100,0.050,1.000,1.020,0
7,11.562,491467,24116,1096,0,1000,0.100,0.050,1.000,1.019,0
8,11.206,476662,23373,1115,0,1000,0.100,0.050,1.000,1.021,0
9,10.850,462348,22632,1093,0,1000,0.100,0.050,1.000,1.021,0
10,11.462,487220,23907,1146,0,1000,0.100,0.050,1.000,1.021,0
1,9.554,402569,19663,938,0,1000,0.100,0.050,1.000,1.018,0
2,10.955,460401,22547,1094,0,1000,0.100,0.050,1.000,1.020,0
3,10.271,431933,21138,978,0,1000,0.100,0.050,1.000,1.023,0
4,11.666,489382,24010,1182,0,1000,0.100,0.050,1.000,1.020,0
5,9.761,411186,20089,940,0,1000,0.100,0.050,1.000,1.021,0
6,12.338,517266,25393,1137,0,1000,0.100,0.050,1.000,1.020,0
7,9.479,399600,19509,841,0,1000,0.100,0.050,1.000,1.016,0
8,6.934,294677,14271,605,0,1000,0.100,0.050,1.000,1.020,0
9,11.146,468178,22939,1077,0,1000,0.100,0.050,1.000,1.017,0
10,7.897,334195,16253,777,0,1000,0.100,0.050,1.000,1.016,0
1,12.073,499962,24526,1140,0,1000,0.100,0.050,1.000,1.022,0
2,10.143,421775,20604,966,0,1000,0.100,0.050,1.000,1.018,0
3,10.848,450313,22036,1053,0,1000,0.100,0.050,1.000,1.020,0
4,7.311,306160,14851,673,0,1000,0.100,0.050,1.000,1.013,0
5,8.801,367192,17879,766,0,1000,0.100,0.050,1.000,1.017,0
6,10.139,421252,20597,958,0,1000,0.100,0.050,1.000,1.021,0
7,12.312,509744,25011,1165,0,1000,0.100,0.050,1.000,1.022,0
8,8.584,358098,17437,825,0,1000,0.100,0.050,1.000,1.015,0
9,8.307,347192,16874,772,0,1000,0.100,0.050,1.000,1.016,0
10,11.483,475986,23326,1062,0,1000,0.100,0.050,1.000,1.022,0
1,8.047,342858,16678,784,0,1000,0.100,0.050,1.000,1.020,0
2,9.918,420790,20557,946,0,1000,0.100,0.050,1.000,1.023,0
3,8.375,356516,17359,768,0,1000,0.100,0.050,1.000,1.022,0
4,10.545,446742,21856,983,0,1000,0.100,0.050,1.000,1.015,0
5,9.446,401231,19579,915,0,1000,0.100,0.050,1.000,1.015,0
6,9.323,396029,19324,951,0,1000,0.100,0.050,1.000,1.019,0
7,12.505,527645,25919,1285,0,1000,0.100,0.050,1.000,1.019,0
8,11.143,471425,23095,1092,0,1000,0.100,0.050,1.000,1.021,0
9,10.317,437014,21384,969,0,1000,0.100,0.050,1.000,1.018,0
10,10.379,439569,21512,969,0,1000,0.100,0.050,1.000,1.018,0
1,8.872,391660,19094,891,0,1000,0.100,0.050,1.000,1.027,0
2,8.106,358199,17445,854,0,1000,0.100,0.050,1.000,1.018,0
3,11.158,489324,24013,1154,0,1000,0.100,0.050,1.000,1.020,0
4,11.820,518345,25438,1156,0,1000,0.100,0.050,1.000,1.013,0
5,10.272,451358,22107,1087,0,1000,0.100,0.050,1.000,1.019,0
6,8.994,396537,19356,904,0,1000,0.100,0.050,1.000,1.018,0
7,11.034,484051,23747,1129,0,1000,0.100,0.050,1.000,1.027,0
8,12.126,531216,26097,1208,0,1000,0.100,0.050,1.000,1.019,0
9,8.116,358689,17467,811,0,1000,0.100,0.050,1.000,1.021,0
10,9.502,418193,20450,984,0,1000,0.100,0.050,1.000,1.017,0
1,10.329,457618,22398,1109,0,1000,0.100,0.050,1.000,1.016,0
2,9.175,407366,19897,936,0,1000,0.100,0.050,1.000,1.020,0
3,10.833,479726,23491,1137,0,1000,0.100,0.050,1.000,1.022,0
4,9.911,439194,21493,1017,0,1000,0.100,0.050,1.000,1.018,0
5,9.957,441387,21593,991,0,1000,0.100,0.050,1.000,1.014,0
6,7.007,313368,15195,671,0,1000,0.100,0.050,1.000,1.019,0
7,12.551,553486,27218,1315,0,1000,0.100,0.050,1.000,1.020,0
8,8.129,361911,17628,828,0,1000,0.100,0.050,1.000,1.018,0
9,10.775,476468,23365,1044,0,1000,0.100,0.050,1.000,1.016,0
10,11.332,500900,24574,1216,0,1000,0.100,0.050,1.000,1.023,0
1,10.123,518592,25475,1234,0,1000,0.100,0.050,1.000,1.017,0
2,15.883,808899,39971,2008,0,1000,0.100,0.050,1.000,1.029,0
3,11.023,564035,27740,1292,0,1000,0.100,0.050,1.000,1.019,0
4,9.867,505542,24830,1154,0,1000,0.100,0.050,1.000,1.017,0
5,10.804,553258,27189,1276,0,1000,0.100,0.050,1.000,1.023,0
6,9.971,511113,25092,1165,0,1000,0.100,0.050,1.000,1.025,0
7,8.427,433804,21207,1022,0,1000,0.100,0.050,1.000,1.020,0
8,8.517,437997,21433,1027,0,1000,0.100,0.050,1.000,1.022,0
9,7.545,389330,18987,856,0,1000,0.100,0.050,1.000,1.017,0
10,7.841,403638,19733,922,0,1000,0.100,0.050,1.000,1.017,0
1,10.323,496449,24349,1109,0,1000,0.100,0.050,1.000,1.019,0
2,8.708,420340,20540,909,0,1000,0.100,0.050,1.000,1.018,0
3,7.247,351056,17094,904,0,1000,0.100,0.050,1.000,1.014,0
4,12.309,589729,29033,1373,0,1000,0.100,0.050,1.000,1.022,0
5,8.592,414673,20266,919,0,1000,0.100,0.050,1.000,1.021,0
6,9.734,468554,22961,1105,0,1000,0.100,0.050,1.000,1.029,0
7,10.769,517043,25401,1157,0,1000,0.100,0.050,1.000,1.022,0
8,10.667,512541,25161,1163,0,1000,0.100,0.050,1.000,1.018,0
9,9.221,444549,21750,1057,0,1000,0.100,0.050,1.000,1.020,0
10,12.430,595793,29319,1371,0,1000,0.100,0.050,1.000,1.022,0
1,9.630,423798,20737,1053,0,1000,0.100,0.050,1.000,1.022,0
2,9.867,434161,21247,1005,0,1000,0.100,0.050,1.000,1.016,0
3,10.038,441532,21614,1000,0,1000,0.100,0.050,1.000,1.023,0
4,8.383,370120,18051,816,0,1000,0.100,0.050,1.000,1.018,0
5,9.819,432174,21143,948,0,1000,0.100,0.050,1.000,1.020,0
6,11.125,488858,23955,1111,0,1000,0.100,0.050,1.000,1.016,0
7,13.290,581884,28617,1474,0,1000,0.100,0.050,1.000,1.027,0
8,9.683,426094,20851,950,0,1000,0.100,0.050,1.000,1.022,0
9,9.575,421529,20618,909,0,1000,0.100,0.050,1.000,1.014,0
10,8.590,379398,18497,843,0,1000,0.100,0.050,1.000,1.022,0
1,8.600,361206,17588,810,0,1000,0.100,0.050,1.000,1.014,0
2,10.155,424793,20769,979,0,1000,0.100,0.050,1.000,1.020,0
3,9.194,385399,18804,893,0,1000,0.100,0.050,1.000,1.017,0
4,11.424,476657,23364,1155,0,1000,0.100,0.050,1.000,1.016,0
5,9.777,409325,19996,934,0,1000,0.100,0.050,1.000,1.016,0
6,11.387,475279,23289,1154,0,1000,0.100,0.050,1.000,1.027,0
7,10.065,420873,20585,967,0,1000,0.100,0.050,1.000,1.016,0
8,9.691,406202,19819,946,0,1000,0.100,0.050,1.000,1.016,0
9,9.583,401294,19600,898,0,1000,0.100,0.050,1.000,1.020,0
10,10.124,423812,20705,957,0,1000,0.100,0.050,1.000,1.017,0
1,10.897,460827,22587,1013,0,1000,0.100,0.050,1.000,1.018,0
2,9.915,420379,20551,910,0,1000,0.100,0.050,1.000,1.026,0
3,9.010,382924,18675,843,0,1000,0.100,0.050,1.000,1.014,0
4,8.958,380978,18568,874,0,1000,0.100,0.050,1.000,1.016,0
5,9.203,390971,19075,889,0,1000,0.100,0.050,1.000,1.015,0
6,10.564,447061,21895,1043,0,1000,0.100,0.050,1.000,1.019,0
7,9.139,387952,18943,919,0,1000,0.100,0.050,1.000,1.013,0
8,12.092,510651,25063,1200,0,1000,0.100,0.050,1.000,1.022,0
9,9.362,397578,19404,892,0,1000,0.100,0.050,1.000,1.019,0
10,10.860,459362,22509,1138,0,1000,0.100,0.050,1.000,1.016,0
1,9.124,389077,18983,797,0,1000,0.100,0.050,1.000,1.015,0
2,12.176,516120,25332,1267,0,1000,0.100,0.050,1.000,1.025,0
3,10.400,442144,21637,1012,0,1000,0.100,0.050,1.000,1.017,0
4,8.736,373072,18175,854,0,1000,0.100,0.050,1.000,1.021,0
5,11.015,467404,22917,1031,0,1000,0.100,0.050,1.000,1.020,0
6,10.819,459605,22509,1009,0,1000,0.100,0.050,1.000,1.020,0
7,10.285,437571,21399,955,0,1000,0.100,0.050,1.000,1.020,0
8,11.136,472798,23169,1141,0,1000,0.100,0.050,1.000,1.023,0
9,9.349,398409,19450,903,0,1000,0.100,0.050,1.000,1.015,0
10,6.961,299495,14483,642,0,1000,0.100,0.050,1.000,1.016,0
1,15.439,654243,32225,1622,0,1000,0.100,0.050,1.000,1.021,0
2,6.992,301562,14594,699,0,1000,0.100,0.050,1.000,1.014,0
3,11.294,480895,23573,1102,0,1000,0.100,0.050,1.000,1.025,0
4,8.091,347178,16888,754,0,1000,0.100,0.050,1.000,1.013,0
5,6.994,301023,14597,658,0,1000,0.100,0.050,1.000,1.013,0
6,10.265,438079,21426,934,0,1000,0.100,0.050,1.000,1.022,0
7,9.957,425052,20782,1047,0,1000,0.100,0.050,1.000,1.022,0
8,9.097,389088,18987,850,0,1000,0.100,0.050,1.000,1.020,0
9,10.494,447652,21903,1044,0,1000,0.100,0.050,1.000,1.021,0
10,11.376,484098,23745,1127,0,1000,0.100,0.050,1.000,1.024,0
1,10.703,452513,22160,1053,0,1000,0.100,0.050,1.000,1.023,0
2,8.159,347189,16892,760,0,1000,0.100,0.050,1.000,1.018,0
3,10.012,423765,20728,876,0,1000,0.100,0.050,1.000,1.017,0
4,8.254,350909,17088,810,0,1000,0.100,0.050,1.000,1.020,0
5,11.493,485038,23794,1109,0,1000,0.100,0.050,1.000,1.023,0
6,9.633,408245,19943,924,0,1000,0.100,0.050,1.000,1.018,0
7,7.902,336597,16361,791,0,1000,0.100,0.050,1.000,1.016,0
8,12.420,523686,25715,1247,0,1000,0.100,0.050,1.000,1.022,0
9,10.222,432606,21164,1028,0,1000,0.100,0.050,1.000,1.018,0
10,11.202,473136,23193,1099,0,1000,0.100,0.050,1.000,1.021,0
1,11.749,466771,22866,1072,0,1000,0.100,0.050,1.000,1.020,0
