Account,Influence Score
1,10.813
2,9.467
3,10.373
4,10.411
5,11.196
6,7.910
7,9.007
8,11.623
9,8.215
10,10.984
1,11.304
2,11.017
3,7.729
4,10.847
5,8.400
6,7.853
7,12.717
8,9.032
9,8.286
10,12.815
1,10.757
2,8.339
3,9.031
4,12.931
5,10.928
6,6.864
7,10.726
8,12.310
9,9.394
10,8.720
1,9.223
2,12.035
3,6.646
4,12.264
5,10.938
6,9.763
7,9.868
8,8.596
9,11.538
10,9.130
1,9.013
2,8.396
3,10.865
4,11.293
5,7.989
6,11.680
7,8.754
8,12.065
9,9.733
10,10.213
1,8.722
2,8.661
3,13.352
4,8.622
5,9.935
6,9.401
7,11.251
8,10.823
9,10.282
10,8.952
1,8.151
2,10.761
3,10.514
4,12.108
5,12.117
6,8.933
7,13.564
8,6.487
9,8.539
10,8.827
1,10.682
2,9.692
3,10.074
4,10.278
5,10.494
6,8.851
7,8.398
8,11.436
9,11.296
10,8.797
1,10.669
2,9.395
3,10.513
4,10.548
5,10.126
6,9.804
7,9.935
8,8.587
9,11.197
10,9.227
1,12.173
2,9.334
3,9.541
4,9.870
5,10.541
6,10.313
7,10.341
8,7.668
9,10.092
10,10.125